Student_ID,Rating,Feedback
1,5,Poor management and unclear instructions.
2,3,Loved the workshop and the practical approach.
3,3,One of the best events I have attended.
4,4,The event was very informative and well organized.
5,1,Poor management and unclear instructions.
6,1,"Did not enjoy the session, it was boring."
7,5,"Did not enjoy the session, it was boring."
8,3,"Outstanding event, highly recommended."
9,4,Disorganized and not worth the time.
10,5,"Average experience, some topics were rushed."
11,3,Well structured and easy to follow.
12,3,"Good session overall, but the timing could be improved."
13,5,"Neutral experience, nothing special."
14,5,"Average experience, some topics were rushed."
15,3,Poor management and unclear instructions.
16,4,One of the best events I have attended.
17,4,"I learned a lot, especially from the hands-on activities."
18,4,"Outstanding event, highly recommended."
19,1,Excellent speakers and great interaction.
20,5,Poor management and unclear instructions.
21,3,The event was very informative and well organized.
22,5,"Too long and tiring, needs better pacing."
23,2,"I learned a lot, especially from the hands-on activities."
24,3,"Good session overall, but the timing could be improved."
25,4,"Did not enjoy the session, it was boring."
26,4,"I learned a lot, especially from the hands-on activities."
27,4,Disorganized and not worth the time.
28,3,"Outstanding event, highly recommended."
29,1,The event was very informative and well organized.
30,5,"I learned a lot, especially from the hands-on activities."
31,2,Disorganized and not worth the time.
32,4,Good content and friendly speakers.
33,4,Informative but could be more interactive.
34,4,"Nice event, but the venue was too crowded."
35,5,Excellent speakers and great interaction.
36,2,Excellent speakers and great interaction.
37,1,"Too long and tiring, needs better pacing."
38,1,Disorganized and not worth the time.
39,2,Poor management and unclear instructions.
40,5,"Did not enjoy the session, it was boring."
41,1,Good content and friendly speakers.
42,1,Well structured and easy to follow.
43,2,"Outstanding event, highly recommended."
44,1,One of the best events I have attended.
45,5,"Nice event, but the venue was too crowded."
46,3,"Nice event, but the venue was too crowded."
47,3,Informative but could be more interactive.
48,2,"It was okay, but expected more practical examples."
49,3,Loved the workshop and the practical approach.
50,1,"Did not enjoy the session, it was boring."
51,3,Poor management and unclear instructions.
52,5,Very engaging and useful for my career.
53,2,"I learned a lot, especially from the hands-on activities."
54,4,Excellent speakers and great interaction.
55,1,"Nice event, but the venue was too crowded."
56,5,Very engaging and useful for my career.
57,3,"Some parts were confusing, but overall decent."
58,5,One of the best events I have attended.
59,2,Excellent speakers and great interaction.
60,1,"Neutral experience, nothing special."
61,5,Loved the workshop and the practical approach.
62,2,Poor management and unclear instructions.
63,1,"Neutral experience, nothing special."
64,5,"Average experience, some topics were rushed."
65,2,"I learned a lot, especially from the hands-on activities."
66,4,"It was okay, but expected more practical examples."
67,4,"Some parts were confusing, but overall decent."
68,1,Excellent speakers and great interaction.
69,2,"Did not enjoy the session, it was boring."
70,5,Disorganized and not worth the time.
71,3,"Outstanding event, highly recommended."
72,2,Excellent speakers and great interaction.
73,1,"Nice event, but the venue was too crowded."
74,5,Very engaging and useful for my career.
75,2,"Some parts were confusing, but overall decent."
76,3,"It was okay, but expected more practical examples."
77,1,"Good session overall, but the timing could be improved."
78,4,"I learned a lot, especially from the hands-on activities."
79,4,"Nice event, but the venue was too crowded."
80,5,"Some parts were confusing, but overall decent."
81,4,"Good session overall, but the timing could be improved."
82,4,"It was okay, but expected more practical examples."
83,1,"Average experience, some topics were rushed."
84,5,Good content and friendly speakers.
85,5,"Did not enjoy the session, it was boring."
86,5,Well structured and easy to follow.
87,2,"It was okay, but expected more practical examples."
88,5,"Average experience, some topics were rushed."
89,3,"It was okay, but expected more practical examples."
90,4,"Outstanding event, highly recommended."
91,1,"Good session overall, but the timing could be improved."
92,1,"Outstanding event, highly recommended."
93,5,"Nice event, but the venue was too crowded."
94,4,Well structured and easy to follow.
95,1,Disorganized and not worth the time.
96,3,"Nice event, but the venue was too crowded."
97,3,Poor management and unclear instructions.
98,1,"Some parts were confusing, but overall decent."
99,1,Excellent speakers and great interaction.
100,4,"Did not enjoy the session, it was boring."